,ITEM,REF,DESCRIPCION,CATEGORIA,SUBCATEGORIA,VIGENCIA,ORIGEN,ESTILO,MATERIAL,ACABADO,PUESTOS,COLOR,ANCHO,ALTO,FONDO,DESC_LARGA,SUBCATEGORIA_POS,COLOR_POS,MATERIAL_POS
150,17742,D00511:00134:00134,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,DESCONTINUADO,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,ROJO,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,ROJO,OTRO
151,17742,D00511:00380:00380,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,GRIS,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,GRIS,OTRO
152,17742,D00511:00382:00382,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,ROJO,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,ROJO,OTRO
153,17742,D00511:00406:00406,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,POLIÉSTER,TEXTILES SUAVES,3.0,GRIS,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,GRIS,OTRO
154,17743,D00512:00065:00065,SALA  EN L LYNN,SALAS Y SOFAS,MODULARES,DESCONTINUADO,MANUFACTURADO,CLÁSICO,SINTÉTICO,SUPERFICIES MATES,3.0,GRIS,200.0,80.0,110.0,SALA EN L LYNN DERECHA 2C DESCONTINUADO,OTROS,GRIS,SINTÉTICO
155,17743,D00512:00066:00066,SALA  EN L LYNN,SALAS Y SOFAS,MODULARES,DESCONTINUADO,MANUFACTURADO,CLÁSICO,SINTÉTICO,SUPERFICIES MATES,3.0,CREMA,200.0,80.0,110.0,SALA EN L LYNN DERECHA 2C DESCONTINUADO,OTROS,OTRO,SINTÉTICO
156,17743,D00512:00069:00069,SALA  EN L LYNN,SALAS Y SOFAS,MODULARES,DESCONTINUADO,MANUFACTURADO,CLÁSICO,SINTÉTICO,SUPERFICIES MATES,3.0,AMARILLO,200.0,80.0,110.0,SALA EN L LYNN DERECHA 2C DESCONTINUADO,OTROS,AMARILLO,SINTÉTICO
157,17743,D00512:00071:00071,SALA  EN L LYNN,SALAS Y SOFAS,MODULARES,DESCONTINUADO,MANUFACTURADO,CLÁSICO,SINTÉTICO,SUPERFICIES MATES,3.0,CAFE,200.0,80.0,110.0,SALA EN L LYNN DERECHA 2C DESCONTINUADO,OTROS,CAFE,SINTÉTICO
158,17743,D00512:00072:00072,SALA  EN L LYNN,SALAS Y SOFAS,MODULARES,DESCONTINUADO,MANUFACTURADO,CLÁSICO,SINTÉTICO,SUPERFICIES MATES,3.0,GRIS,200.0,80.0,110.0,SALA EN L LYNN DERECHA 2C DESCONTINUADO,OTROS,GRIS,SINTÉTICO
159,17743,D00512:00103:00103,SALA  EN L LYNN,SALAS Y SOFAS,MODULARES,DESCONTINUADO,MANUFACTURADO,CLÁSICO,SINTÉTICO,SUPERFICIES MATES,3.0,GRIS,200.0,80.0,110.0,SALA EN L LYNN DERECHA 2C DESCONTINUADO,OTROS,GRIS,SINTÉTICO
