Item;Desc. item;Desc. ext. 1 detalle;Desc. ext. 2 detalle;Desc. tipo inventario;ORIGEN;DEPARTAMENTO;SUBCATEGORIA;ESTILO;VIGENCIA;001-DESCRIPCION UNIFICADA;001-ALTO EXHIBIDO;001-ANCHO EXHIBIDO;001-FONDO EXHIBIDO;001-MATERIAL PPAL;001-ACABADO;REF_Combinada;COLOR DEF;Puestos
0017660;PUFF LACO PELUZA BL;C.BLANCO ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LACO;40;30;30;Microfibra;Textiles suaves;XA0433:00001:;BLANCO;1 Puesto
0017659;PUFF LACO PELUZA NG;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LACO;40;30;30;Microfibra;Textiles suaves;XA0432:00005:;NEGRO;1 Puesto
0017662;PUFF LAMAN PATAS NATURAL CF LIQUIDACIÓN;C.CAFE   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAMAN;40;30;30;Microfibra;Textiles suaves;XA0435:00009:;CAFE;1 Puesto
0017664;PUFF LAMAN PATAS NATURAL NG LIQUIDACIÓN;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAMAN;40;30;30;Microfibra;Textiles suaves;XA0437:00005:;NEGRO;1 Puesto
0017661;PUFF LAMAN PATAS NATURAL NR LIQUIDACIÓN;C.NARANJA;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAMAN;40;30;30;Microfibra;Textiles suaves;XA0434:00050:;NARANJA;1 Puesto
0017663;PUFF LAMAN PATAS NATURAL RJ LIQUIDACIÓN;C.ROJO   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAMAN;40;30;30;Microfibra;Textiles suaves;XA0436:00024:;ROJO;1 Puesto
0018604;PUFF LANIKAI AZ 40*40*37CM LIQUIDACIÓN;C.AZUL   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;MOD - MODERNO;002 - DESCONTINUADO;PUFF LANIKAI;40;30;30;Microfibra;Textiles suaves;XA0802:00046:;AZUL;1 Puesto
0018605;PUFF LANIKAI GR 40*40*37CM LIQUIDACIÓN;C.GRIS   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;MOD - MODERNO;002 - DESCONTINUADO;PUFF LANIKAI;40;30;30;Microfibra;Textiles suaves;XA0803:00029:;GRIS;1 Puesto
0017677;PUFF LARUS PATAS NATURAL CF LIQUIDACIÓN;C.CAFE   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LARUS;40;30;30;Microfibra;Textiles suaves;XA0448:00009:;CAFE;1 Puesto
0017679;PUFF LARUS PATAS NATURAL NG LIQUIDACIÓN;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LARUS;40;30;30;Microfibra;Textiles suaves;XA0450:00005:;NEGRO;1 Puesto
0017676;PUFF LARUS PATAS NATURAL NR LIQUIDACIÓN;C.NARANJA;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LARUS;40;30;30;Microfibra;Textiles suaves;XA0447:00050:;NARANJA;1 Puesto
0017678;PUFF LARUS PATAS NATURAL RJ LIQUIDACIÓN;C.ROJO   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LARUS;40;30;30;Microfibra;Textiles suaves;XA0449:00024:;ROJO;1 Puesto
0017656;PUFF LAVY PATAS NATURAL CF LIQUIDACIÓN;C.CAFE   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAVY;40;30;30;Microfibra;Textiles suaves;XA0429:00009:;CAFE;1 Puesto
0017658;PUFF LAVY PATAS NATURAL NG LIQUIDACIÓN;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAVY;40;30;30;Microfibra;Textiles suaves;XA0431:00005:;NEGRO;1 Puesto
0017655;PUFF LAVY PATAS NATURAL NR LIQUIDACIÓN;C.NARANJA;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAVY;40;30;30;Microfibra;Textiles suaves;XA0428:00050:;NARANJA;1 Puesto
0017666;PUFF LAYAN PATAS NATURAL CF;C.CAFE   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAYAN;40;30;30;Microfibra;Textiles suaves;XA0439:00009:;CAFE;1 Puesto
0017667;PUFF LAYAN PATAS NATURAL NG LIQUIDACIÓN;C.NEGRO  ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAYAN;40;30;30;Microfibra;Textiles suaves;XA0440:00005:;NEGRO;1 Puesto
0017665;PUFF LAYAN PATAS NATURAL NR LIQUIDACIÓN;C.NARANJA;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAYAN;40;30;30;Microfibra;Textiles suaves;XA0438:00050:;NARANJA;1 Puesto
0017668;PUFF LAYAN PATAS NATURAL RJ LIQUIDACIÓN;C.ROJO   ;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;PUFF - PUFF;CON - CONTEMPORÁNEO;002 - DESCONTINUADO;PUFF LAYAN;40;30;30;Microfibra;Textiles suaves;XA0451:00024:;ROJO;1 Puesto
